ID_CLIENT	GENDER	MARITAL_STATUS	QTY_PETS	DISTRICT
3	F	Married	1	Bronx
8	F	Married	2	Brooklyn
9	F	Married	5	Brooklyn
20	F	Single	2	Manhattan
24	F	Single	1	Brooklyn
26	F	Single	1	Brooklyn
28	F	Single	1	Bronx
30	F	Single	4	Manhattan
32	F	Single	2	Brooklyn
36	F	Single	1	Manhattan
39	F	Married	4	Bronx
41	F	Single	1	Manhattan
42	F	Married	3	Brooklyn
43	F	Single	2	Bronx
44	F	Single	1	Brooklyn
45	F	Single	5	Bronx
47	F	Married	1	Queens
48	F	Married	1	Queens
49	F	Single	4	Bronx
52	F	Single	3	Brooklyn
55	F	Married	3	Manhattan
57	F	Single	3	Brooklyn
59	F	Married	5	Brooklyn
60	F	Single	3	Brooklyn
62	F	Married	1	Bronx
64	F	Single	4	Manhattan
71	F	Single	5	Queens
75	F	Single	3	Bronx
76	F	Single	1	Manhattan
77	F	Single	2	Brooklyn
79	F	Single	2	Bronx
80	F	Single	1	Manhattan
81	F	Single	2	Manhattan
87	F	Single	4	Brooklyn
91	F	Married	1	Bronx
93	F	Married	5	Bronx
96	F	Single	1	Manhattan
99	F	Single	3	Manhattan
102	F	Married	2	Queens
104	F	Married	1	Manhattan
105	F	Married	3	Manhattan
109	F	Single	2	Brooklyn
110	F	Single	3	Brooklyn
112	F	Married	4	Brooklyn
114	F	Single	3	Queens
115	F	Single	3	Bronx
117	F	Married	3	Bronx
118	F	Single	2	Manhattan
119	F	Single	4	Brooklyn
121	F	Single	5	Brooklyn
125	F	Married	2	Bronx
126	F	Single	2	Bronx
127	F	Single	1	Bronx
128	F	Single	1	Bronx
131	F	Single	3	Manhattan
133	F	Married	1	Brooklyn
135	F	Married	5	Queens
136	F	Married	3	Bronx
137	F	Married	3	Brooklyn
139	F	Married	1	Manhattan
140	F	Married	2	Manhattan
141	F	Married	4	Brooklyn
144	F	Single	3	Brooklyn
148	F	Single	2	Bronx
154	F	Single	1	Bronx
155	F	Married	1	Brooklyn
156	F	Single	1	Queens
158	F	Married	3	Bronx
159	F	Married	4	Manhattan
160	F	Married	1	Bronx
161	F	Married	1	Manhattan
